Planet,Mean distance from Sun (AU),Equatorial radius (KM)
Mercury,0.39,2439.64
Venus,0.72,6051.59
Earth,1.00,6378.10
Mars,1.52,3397.00
Jupiter,5.20,71492.68
Saturn,9.54,60267.14
Uranus,19.19,25557.25
Neptune,30.07,24766.36
